,BEER,NONALCOHOL,BURGER,HOTDOG,TW1,TW2,TW3
72,3,3,0,1,0,0,1
73,2,1,1,2,0,0,1
74,2,2,3,1,0,1,1
75,0,2,2,2,0,1,1
76,4,2,1,0,0,0,1
77,2,3,0,0,1,1,1
78,2,2,2,3,0,0,1
80,2,3,0,3,0,0,1
81,4,2,1,2,1,0,1
82,2,3,0,2,1,0,0
83,2,4,1,2,0,0,1
84,5,5,3,1,0,1,1
86,3,3,0,1,0,0,1
87,3,3,1,0,0,1,1
88,6,4,1,1,0,1,0
89,2,0,1,0,0,1,0
90,3,3,0,0,0,1,1
91,3,4,1,0,0,1,0
92,4,2,0,1,0,1,1
93,3,5,2,2,1,1,0
94,4,3,3,1,0,0,1
95,0,4,1,1,0,1,1
96,1,1,0,1,0,1,1
98,3,0,0,1,0,0,1
100,6,2,2,1,0,1,0
101,1,4,1,1,1,1,0
102,1,3,1,0,1,0,1
103,5,0,2,1,1,0,1
104,3,0,0,1,1,1,1
106,2,1,0,0,0,0,1
107,2,0,0,1,1,0,1
110,0,3,0,1,1,1,0
111,2,4,2,1,0,0,1
112,4,4,0,1,0,1,0
113,3,3,0,0,1,1,1
114,3,3,0,0,1,0,0
115,2,1,0,1,0,0,1
116,3,1,0,3,1,1,1
117,3,2,0,1,1,0,0
118,3,0,1,0,0,1,1
119,2,4,0,2,1,0,1
120,3,2,2,1,0,1,0
121,3,3,0,1,0,0,1
122,4,2,0,1,1,1,0
123,3,2,1,3,0,1,1
124,2,1,0,0,0,0,1
125,1,3,1,1,0,1,0
126,3,1,1,1,1,1,1
127,3,4,0,1,1,1,1
129,3,2,1,0,0,0,1
130,2,4,1,2,0,1,1
131,2,4,0,2,0,0,1
132,2,3,2,2,0,1,0
133,2,3,0,1,0,0,1
134,3,3,0,2,1,0,1
135,2,3,2,0,0,0,1
136,2,3,1,0,0,1,1
137,2,3,1,1,0,0,1
138,3,3,1,1,0,0,1
139,3,2,1,1,1,1,1
140,2,0,2,3,0,0,1
141,2,4,1,1,1,1,1
142,0,6,0,1,0,1,1
143,1,3,2,1,0,1,1
144,1,1,1,3,0,1,1
145,3,3,0,0,1,0,1
146,3,4,1,0,0,1,0
147,0,4,0,1,1,0,1
148,2,0,0,1,1,1,1
150,0,0,0,0,0,1,0
151,0,3,1,0,0,0,1
152,2,4,1,2,0,1,1
153,0,0,0,1,0,1,1
154,5,4,1,0,1,0,1
156,2,1,1,2,0,1,1
157,4,4,0,1,0,1,1
158,3,3,3,2,1,1,1
159,4,4,3,1,1,1,1
160,2,3,2,0,0,0,1
161,2,1,0,2,0,1,0
163,3,0,1,2,0,0,1
164,3,6,2,0,0,1,1
165,0,0,1,1,1,0,1
166,2,4,3,0,0,1,1
167,2,2,3,1,0,0,1
168,4,3,0,1,1,0,0
169,3,3,1,1,0,1,1
170,1,3,0,0,1,1,0
171,2,2,0,1,0,1,1
172,0,3,3,0,1,0,1
173,2,3,0,0,0,0,1
174,4,3,0,0,0,1,1
175,0,2,2,0,0,1,1
177,3,4,0,1,0,1,1
178,3,3,2,2,0,1,1
179,4,3,2,1,0,0,1
180,3,3,0,1,1,1,1
181,4,3,3,2,1,0,1
182,4,3,3,2,0,1,1
183,6,3,0,0,0,0,1
184,2,1,0,0,0,1,1
185,3,2,0,0,0,1,1
187,1,2,1,2,0,0,1
188,6,0,2,2,1,0,1
189,3,3,2,3,0,1,1
190,3,0,1,1,0,0,1
191,0,2,2,0,0,1,0
192,2,0,2,3,0,0,1
193,3,1,0,0,1,0,1
194,3,3,0,2,1,0,0
195,2,2,0,1,0,1,1
196,0,0,2,1,0,1,1
197,2,3,3,2,0,0,1
198,2,4,1,2,0,1,1
199,3,3,0,3,1,1,1
200,3,4,0,3,1,0,0
201,2,0,1,1,0,0,1
202,1,5,3,0,0,1,1
203,5,3,0,2,0,0,1
204,4,5,0,0,0,1,1
205,0,3,0,0,0,1,1
206,2,4,1,1,0,1,1
209,4,0,0,1,0,1,1
210,1,3,0,0,0,0,1
211,3,4,0,1,0,0,1
212,3,3,1,3,0,1,1
214,3,3,0,0,1,1,1
215,3,1,1,2,0,0,1
216,3,3,2,0,0,0,1
217,4,1,3,3,1,0,1
218,2,3,1,2,0,1,1
219,2,2,0,3,0,1,0
220,0,3,0,0,1,0,1
221,1,1,1,2,0,1,1
222,1,3,3,0,1,0,0
223,4,3,2,2,0,0,1
224,2,3,0,0,0,0,1
226,4,4,0,0,0,1,1
227,3,2,2,0,0,0,1
228,0,3,1,1,0,0,1
229,2,3,0,0,0,0,1
230,2,2,2,1,1,1,1
232,3,5,1,1,0,0,1
233,3,1,1,1,0,0,1
234,3,4,0,1,0,0,1
235,2,3,0,0,0,1,1
236,3,2,0,0,0,1,1
237,4,3,3,1,0,1,1
238,3,1,2,0,0,0,1
239,3,3,2,0,0,0,1
240,2,2,0,1,1,0,1
241,3,3,1,1,0,1,0
242,1,2,1,1,0,0,1
243,3,2,2,1,0,0,1
244,2,1,3,1,0,1,1
245,3,0,2,0,0,0,1
246,4,4,0,1,1,1,0
247,2,2,1,2,0,0,1
248,3,4,2,0,0,1,1
249,3,2,0,3,0,1,1
250,0,0,3,1,1,0,1
251,3,3,0,3,0,1,1
252,2,2,1,1,0,1,0
253,1,3,2,1,0,0,1
254,2,5,1,0,0,1,1
256,5,0,1,2,1,0,1
257,0,4,2,0,0,1,1
258,3,2,3,1,0,0,1
259,3,2,2,0,1,0,1
260,2,2,1,0,0,0,1
261,2,3,2,0,1,1,1
262,3,4,3,2,0,0,1
263,1,3,3,1,0,0,1
264,4,2,0,2,0,0,1
265,3,4,1,0,0,0,1
266,0,0,0,1,0,1,1
267,0,2,2,0,0,0,1
269,3,0,2,1,0,1,1
270,0,0,0,1,0,0,1
271,2,0,2,1,0,1,1
272,3,4,0,0,1,1,1
273,3,3,0,1,1,1,1
276,4,1,1,0,0,1,1
277,3,2,0,3,1,1,0
278,4,3,2,0,0,1,1
279,4,3,0,3,1,0,0
280,3,1,1,1,0,1,1
281,0,4,1,3,0,1,1
282,5,2,0,1,0,0,1
283,2,2,1,1,1,0,1
284,3,3,0,1,0,0,1
286,4,0,2,0,0,1,0
287,2,0,0,1,1,0,0
288,2,1,1,0,1,1,1
289,2,3,0,1,0,0,1
290,2,1,1,1,0,0,1
292,4,4,3,1,0,1,1
293,4,2,2,1,0,1,1
294,3,4,0,2,0,0,1
295,5,5,2,0,1,0,1
296,3,3,1,1,1,0,0
297,2,0,0,0,0,1,1
298,4,0,2,0,1,1,1
299,3,0,1,0,0,0,1
300,3,1,1,2,1,0,1
301,2,4,2,0,0,1,1
302,3,2,1,2,0,0,1
303,2,2,0,2,1,1,1
304,2,4,2,1,0,1,1
305,2,3,1,1,0,1,0
306,2,4,0,1,0,0,1
307,3,3,1,1,1,1,0
308,2,2,1,2,1,0,0
309,2,0,1,1,1,1,1
310,3,4,0,0,0,0,1
311,1,3,0,2,1,1,1
312,3,3,1,0,0,0,1
314,5,4,1,3,0,0,1
315,2,2,3,1,0,1,1
316,2,0,3,1,0,1,0
317,4,4,1,1,0,1,1
318,2,2,0,2,0,0,1
319,3,4,0,0,0,0,1
320,2,3,1,1,0,1,1
321,3,2,2,2,0,1,1
323,2,3,0,1,1,1,1
324,2,1,0,1,0,1,1
325,3,4,3,2,1,0,1
326,1,1,1,1,1,0,1
327,2,3,1,1,0,1,1
328,2,2,3,3,0,1,1
329,2,3,0,0,0,1,1
331,5,4,2,2,1,1,1
332,0,5,0,0,0,0,1
333,4,3,0,1,0,0,1
334,6,3,0,2,1,0,1
336,2,2,1,1,1,0,1
337,3,3,0,2,0,0,1
338,3,3,3,1,0,1,1
339,6,0,0,0,0,0,1
340,4,4,1,0,0,1,1
341,2,3,1,1,1,1,1
342,2,3,0,2,0,0,1
343,2,2,3,0,1,0,1
344,3,1,0,1,0,1,0
345,1,4,2,0,1,0,1
348,0,3,1,1,0,0,1
349,2,3,0,1,1,1,1
351,2,4,1,0,0,0,1
352,4,1,2,2,0,1,1
353,1,0,0,3,0,0,1
355,1,4,1,0,1,0,0
356,4,1,0,1,1,0,1
357,4,2,0,0,0,0,1
359,3,4,1,1,1,1,1
361,3,1,3,0,1,1,1
362,3,5,1,2,1,0,0
364,5,3,1,3,0,0,1
365,6,3,2,1,1,0,1
366,3,2,2,0,1,1,1
367,4,2,2,0,1,0,0
368,3,3,0,0,0,1,0
369,2,0,1,2,1,0,1
370,2,4,2,1,1,0,1
371,6,4,1,0,0,1,1
372,2,3,1,2,1,0,1
373,2,2,0,0,0,0,1
375,2,1,2,3,1,0,1
376,4,3,0,1,1,0,1
377,2,3,0,1,0,0,1
378,2,2,0,0,0,0,1
379,1,3,2,0,0,0,1
380,3,6,1,2,1,0,1
381,2,0,0,2,0,1,1
382,1,3,2,2,1,1,1
383,4,3,1,2,0,1,1
384,1,2,0,1,1,0,0
385,4,3,1,0,0,0,1
386,2,2,0,1,0,1,1
387,2,3,1,0,0,0,1
388,2,0,2,2,1,1,0
389,3,4,1,1,0,1,1
390,0,1,1,0,0,0,1
391,0,3,0,0,0,1,1
392,3,4,2,3,0,0,1
393,2,4,1,0,0,1,1
394,2,4,1,2,1,0,1
395,2,2,0,0,1,0,1
397,3,5,0,1,1,1,1
398,3,2,0,0,1,0,1
399,2,2,2,1,1,0,1
400,2,4,0,1,1,0,1
401,4,3,2,1,0,0,1
402,4,1,0,1,0,1,1
404,3,3,0,0,0,1,0
405,2,4,0,3,0,1,0
406,3,4,3,2,1,0,1
407,4,4,0,0,0,0,1
408,0,2,1,0,0,1,1
409,4,1,0,1,0,1,1
410,0,4,0,2,1,1,1
411,0,3,2,0,0,1,1
412,2,4,1,0,0,1,1
413,2,4,0,1,0,1,1
414,2,4,0,3,0,1,1
415,2,3,2,0,0,0,1
416,0,1,1,0,0,0,1
417,2,4,0,1,1,0,1
418,4,3,0,0,1,0,1
419,3,4,0,0,0,0,1
420,3,5,2,0,1,0,1
421,2,4,2,1,0,0,1
422,2,0,0,0,1,1,1
423,3,4,1,3,0,1,1
424,2,0,0,1,0,0,1
425,2,3,0,1,1,1,1
428,3,1,2,1,0,1,1
430,6,3,1,0,0,0,1
431,3,2,0,1,0,0,1
432,2,3,0,2,0,0,1
433,2,0,0,2,0,0,1
434,1,2,0,1,0,1,1
435,4,5,3,1,1,0,1
436,2,0,1,2,0,0,1
437,4,0,0,2,0,1,0
438,2,4,2,3,0,0,1
439,5,0,1,1,0,0,1
440,3,2,1,0,1,1,1
441,4,2,1,1,1,0,1
442,2,2,1,1,0,1,1
443,2,2,1,0,1,1,1
444,0,1,0,2,1,1,1
445,2,1,2,1,0,1,1
446,3,3,2,0,0,1,1
447,0,4,0,1,0,0,1
448,2,4,2,2,0,1,1
449,2,1,1,0,0,1,1
450,3,2,0,3,0,1,1
451,2,2,1,2,1,0,1
452,3,3,2,1,1,1,1
453,2,3,0,2,0,0,1
454,3,3,3,0,0,0,1
455,2,3,0,0,0,0,1
456,0,2,0,1,1,1,1
457,3,3,0,0,0,0,1
458,3,4,0,3,1,0,1
459,6,3,1,0,0,0,1
460,2,1,1,3,0,0,1
461,3,3,1,1,1,0,1
462,4,3,0,0,0,0,1
463,4,1,3,0,0,1,1
464,4,0,1,1,0,1,1
465,3,4,2,0,0,1,0
468,0,4,3,2,0,1,1
469,4,1,0,2,1,0,1
470,2,3,1,2,0,1,1
471,2,2,2,2,1,1,0
472,1,2,1,1,0,0,1
473,4,2,3,2,0,0,1
474,4,3,1,1,0,0,1
476,0,2,2,2,1,1,1
478,2,3,1,0,1,1,1
479,4,3,1,1,0,1,0
480,1,0,0,1,0,1,1
481,3,4,0,3,1,1,0
482,2,3,1,0,0,1,0
483,3,0,2,1,0,1,1
484,3,1,2,1,1,1,0
485,1,2,0,1,1,1,1
486,3,0,3,0,0,1,0
487,2,4,0,1,0,0,1
489,2,4,1,0,0,1,1
490,3,4,0,3,1,0,0
491,2,5,1,3,0,1,1
492,3,3,2,0,1,1,1
493,2,3,2,2,1,1,0
494,3,3,0,2,1,0,1
495,2,0,0,1,0,1,1
496,2,5,0,2,0,1,0
498,0,0,2,1,1,0,1
500,3,1,0,0,0,1,1
502,1,2,0,3,0,0,1
503,2,4,1,3,0,0,1
504,2,0,1,1,1,0,1
505,0,0,1,0,0,1,1
507,4,4,1,3,1,0,1
509,3,4,1,2,1,1,1
510,3,0,0,1,1,1,1
511,5,3,3,1,0,1,1
512,2,1,0,2,0,1,1
513,2,3,2,1,0,0,1
514,5,0,1,1,0,0,1
515,1,4,0,1,1,0,0
517,3,2,2,3,0,1,1
518,0,3,0,1,0,0,1
519,3,1,0,1,1,1,1
520,2,4,1,1,0,1,0
521,4,4,1,0,0,1,1
523,4,3,3,0,0,1,1
524,2,3,3,1,0,0,1
525,4,5,0,2,0,0,1
526,3,3,1,2,1,1,0
527,4,2,0,3,0,0,1
528,1,0,3,0,0,0,1
529,5,2,1,1,0,1,1
530,1,2,0,1,0,0,1
531,3,3,1,1,0,1,0
533,2,2,1,1,0,0,1
534,1,3,2,0,1,1,0
535,0,2,1,3,1,0,1
537,6,2,2,2,0,0,1
538,3,1,0,3,0,1,1
539,3,3,2,2,1,1,1
540,5,2,2,3,0,1,1
541,3,3,0,0,0,0,1
542,2,2,0,0,0,1,1
543,2,6,2,0,0,0,1
544,3,4,1,2,0,0,1
546,3,4,2,1,0,0,1
547,2,3,0,0,1,0,1
548,2,4,0,1,0,0,1
549,3,2,3,1,1,1,1
550,5,1,1,1,1,0,1
551,0,3,1,1,1,0,0
552,4,4,1,0,0,0,1
553,4,2,2,0,1,0,1
555,3,4,0,2,0,0,1
556,6,3,1,1,0,1,1
557,1,2,2,0,0,1,1
558,2,3,0,2,1,1,1
559,2,3,1,0,0,0,1
560,1,3,2,1,0,1,1
562,3,4,2,0,0,0,1
563,3,2,2,0,1,0,1
564,2,0,0,3,0,1,1
565,2,0,0,2,0,0,1
566,2,0,0,2,0,1,0
567,3,0,2,1,0,0,1
568,1,0,0,2,1,0,1
569,4,4,0,0,0,0,1
570,0,1,2,1,0,0,1
571,3,3,0,1,1,1,1
572,1,4,0,0,1,0,0
573,5,3,3,2,0,1,1
574,3,5,2,0,0,0,1
575,1,2,0,1,0,0,1
577,2,2,3,3,0,0,1
578,3,1,1,0,0,1,0
579,4,3,0,2,0,0,1
580,3,2,1,0,0,0,1
581,2,2,2,2,0,1,0
582,2,3,0,2,0,1,1
583,2,3,2,0,1,1,1
584,0,3,0,1,0,0,1
586,0,3,1,3,0,1,1
587,4,2,1,1,0,1,0
588,3,0,0,0,1,0,1
590,3,3,0,1,0,0,1
591,0,1,2,0,1,0,1
592,1,4,0,3,0,1,0
593,3,3,2,1,1,1,1
594,0,3,0,0,0,1,1
595,3,4,1,1,1,0,1
596,3,3,0,3,0,0,1
597,2,1,1,1,0,1,0
598,4,5,1,1,0,1,1
599,2,2,1,1,0,0,1
600,0,2,3,1,0,0,1
602,3,0,1,0,0,0,1
603,0,2,0,2,1,0,1
604,3,1,1,1,1,0,0
606,2,4,0,2,0,0,1
607,5,5,0,0,1,1,1
608,0,3,1,1,0,0,1
609,2,4,2,0,0,0,1
610,3,3,1,0,0,1,0
611,3,3,1,1,0,0,1
613,2,3,2,0,1,0,1
614,3,4,0,1,0,0,1
615,2,3,2,3,1,1,1
616,2,3,1,0,1,0,1
617,3,4,1,1,0,1,1
618,2,4,0,0,1,0,0
619,6,3,2,1,0,1,1
620,2,3,0,0,0,1,1
621,2,4,3,0,0,1,0
622,3,0,2,3,0,0,1
623,1,4,2,2,1,1,1
624,4,3,1,1,0,1,1
625,2,3,0,1,0,1,1
626,4,4,1,1,0,0,1
627,3,2,1,1,0,0,1
628,4,3,0,3,0,0,1
629,0,3,0,1,0,1,1
630,4,3,0,1,0,0,1
632,2,0,0,2,1,1,1
633,0,3,1,2,0,0,1
634,1,3,0,1,0,1,1
635,3,0,0,2,1,0,1
636,3,3,1,0,1,1,1
637,3,3,3,3,1,1,1
638,2,3,3,0,1,0,1
639,3,0,0,0,0,0,1
640,1,2,2,0,1,0,1
641,1,3,0,0,0,1,1
642,2,0,1,0,0,0,1
643,2,4,1,2,1,0,1
644,6,3,1,0,0,0,1
645,3,3,0,0,0,1,1
646,3,3,0,3,0,1,1
647,4,4,1,1,0,0,1
648,1,0,0,1,0,0,1
649,4,2,1,1,1,0,1
650,3,3,1,3,1,0,1
651,0,3,1,0,0,1,1
652,3,3,0,3,0,1,0
653,3,4,0,1,1,1,1
654,3,0,3,0,0,1,1
655,2,3,0,1,0,0,1
656,4,3,1,1,0,1,1
657,1,3,1,2,0,0,1
658,4,4,0,1,0,1,1
659,1,4,2,2,0,1,1
661,0,1,1,2,0,0,1
662,2,3,0,3,0,1,1
663,2,2,1,2,0,1,1
664,2,4,3,3,0,0,1
665,2,4,0,1,1,0,0
666,2,3,0,3,0,0,1
667,2,2,0,3,0,1,1
668,5,2,0,0,0,0,1
669,1,0,0,2,1,1,1
670,1,3,1,2,0,0,1
671,4,3,2,0,1,0,1
672,2,0,1,1,0,1,0
675,6,4,2,0,1,1,1
676,6,3,1,0,0,0,1
677,1,1,0,1,0,0,1
678,3,4,1,2,1,1,0
679,2,4,2,1,0,1,0
680,2,3,1,1,1,0,1
681,5,3,0,0,0,0,1
682,3,0,0,0,0,0,1
683,3,2,1,2,0,0,1
684,3,3,1,2,0,1,1
685,5,4,0,1,1,0,0
687,0,4,1,1,0,0,1
688,2,1,3,0,0,0,1
689,2,5,1,2,1,1,1
690,2,4,2,0,0,0,1
691,3,2,1,1,1,0,1
692,0,0,0,0,1,1,1
693,3,3,1,1,0,1,0
695,6,4,0,1,1,0,0
696,2,3,1,1,0,1,1
697,3,2,0,1,1,0,1
698,2,3,0,1,1,1,1
700,2,0,1,1,0,0,1
701,2,3,3,2,0,0,1
702,4,5,1,2,1,0,1
703,0,1,2,2,1,0,1
705,2,2,0,2,1,1,1
706,3,3,1,1,0,0,1
707,3,3,0,1,0,0,1
708,1,2,3,2,0,0,1
709,2,1,0,1,1,0,1
711,4,3,1,2,0,1,1
712,2,1,3,1,0,1,1
713,1,3,1,2,1,0,0
714,3,3,0,0,1,1,1
715,2,5,3,1,0,1,1
716,2,0,0,1,0,1,1
718,3,5,1,1,0,1,0
719,3,3,1,2,0,1,1
720,3,6,0,1,1,1,1
721,2,2,3,3,0,0,1
722,3,0,2,3,0,1,0
723,3,2,3,1,0,0,1
724,2,3,3,1,0,1,0
725,2,3,2,0,1,0,1
726,2,1,0,2,1,0,0
727,2,2,1,3,1,0,1
728,4,3,1,0,1,0,1
729,2,5,0,0,1,0,1
730,3,1,0,0,1,1,0
731,2,3,0,0,0,1,0
732,1,4,0,2,0,1,0
735,3,2,0,0,1,0,1
736,0,2,1,1,0,0,1
738,4,3,1,0,0,0,1
739,2,2,2,0,0,0,1
740,3,4,0,1,0,0,1
741,4,1,3,2,0,1,0
742,6,6,1,0,0,0,1
743,4,3,0,0,0,0,1
744,3,6,1,1,0,0,1
745,4,4,3,2,0,1,1
746,4,2,3,0,1,0,1
747,4,3,1,0,0,0,1
748,3,3,1,1,0,1,1
749,1,2,0,1,0,0,1
750,2,2,0,2,0,1,1
751,3,1,2,1,1,0,0
752,0,6,2,1,0,1,1
753,2,2,1,0,0,1,1
754,2,4,2,3,0,0,1
755,3,4,0,0,0,1,0
756,2,3,1,1,0,0,1
757,2,3,1,3,0,1,0
758,2,2,0,1,1,0,1
759,0,1,2,0,1,0,1
760,3,3,1,0,0,1,0
761,2,4,2,2,1,1,1
763,3,1,2,1,1,1,1
765,2,3,0,1,0,0,1
766,4,0,0,0,0,0,1
767,3,3,1,1,0,1,1
769,1,3,2,1,0,1,0
770,3,2,1,1,0,0,1
771,2,3,2,1,1,1,0
772,3,1,0,3,0,1,1
773,6,2,1,1,0,1,1
774,2,1,0,1,1,1,0
775,1,4,2,0,1,1,0
776,4,3,1,1,0,1,0
777,4,1,0,1,1,1,1
779,4,2,1,1,0,0,1
780,0,6,0,2,0,0,1
781,2,2,2,1,0,0,1
782,4,3,1,0,0,1,1
783,3,4,0,0,0,0,1
784,3,4,1,2,1,0,1
785,2,2,0,0,1,0,0
786,3,2,3,1,1,1,1
787,0,1,2,2,0,1,1
788,3,0,1,2,0,0,1
789,3,3,1,0,0,1,0
790,3,0,3,1,1,0,1
791,3,3,1,2,0,0,1
792,2,2,2,2,0,0,1
793,2,3,1,1,1,1,1
794,0,0,0,1,0,1,0
795,2,4,2,2,0,1,0
796,2,0,1,1,0,1,1
797,2,6,1,1,0,0,1
798,0,4,0,2,0,0,1
799,2,3,1,0,1,0,1
800,4,0,0,1,1,0,1
801,1,4,1,3,0,0,1
802,3,2,1,1,1,0,1
803,3,2,3,3,0,1,1
804,2,3,0,1,0,0,1
805,4,5,0,1,0,0,1
806,4,2,1,0,0,0,1
807,2,0,3,1,0,1,1
808,3,2,3,1,0,1,1
809,6,2,0,1,0,1,0
810,3,3,0,0,1,1,1
811,3,3,1,1,0,1,1
812,3,2,1,1,1,1,1
814,5,4,2,1,0,1,1
815,2,1,3,1,1,1,1
816,2,2,0,0,0,1,0
817,3,2,0,1,1,0,0
818,3,2,0,1,0,0,1
819,4,5,2,1,1,1,0
820,2,3,2,0,0,0,1
823,2,5,1,3,1,0,0
825,2,3,0,0,1,0,1
826,4,1,2,2,1,0,1
827,4,0,3,0,1,1,1
828,3,0,1,0,0,1,0
829,3,3,0,1,0,0,1
830,2,3,0,2,1,0,1
831,4,3,1,2,0,1,1
832,6,3,0,1,0,0,1
833,3,2,3,2,0,0,1
834,1,3,1,0,0,1,0
835,1,4,1,0,1,0,1
836,2,2,0,1,1,0,1
837,2,0,1,0,1,1,1
838,0,3,2,1,0,1,0
839,0,2,0,2,0,1,0
840,3,4,0,3,0,1,0
841,3,0,2,1,1,1,0
842,0,2,2,1,1,1,1
843,0,2,0,0,0,1,0
844,4,3,1,1,0,1,1
845,2,2,0,0,1,0,0
846,2,4,1,2,0,1,0
847,2,1,1,0,0,1,0
849,1,4,0,1,0,1,0
850,4,0,0,1,0,0,1
851,2,2,2,1,0,0,1
852,2,4,0,2,0,1,0
853,1,1,1,0,0,0,1
854,3,4,1,2,1,1,0
855,1,3,2,2,0,0,1
856,4,5,0,2,0,0,1
857,1,0,1,0,0,0,1
858,2,1,1,1,1,0,0
859,2,1,1,1,0,1,1
860,2,0,0,1,0,0,1
861,3,3,0,0,0,0,1
862,5,2,1,0,1,1,1
863,3,3,2,2,0,0,1
865,3,3,0,0,1,1,1
866,3,4,0,1,0,1,0
868,3,4,2,1,0,0,1
869,4,4,1,2,0,0,1
871,0,1,1,3,0,0,1
872,2,3,0,1,0,0,1
873,4,4,1,1,1,0,0
874,4,0,0,1,0,0,1
875,2,3,1,3,1,0,1
876,3,2,1,1,0,1,1
877,3,4,0,0,0,0,1
878,3,0,2,1,0,1,0
879,0,3,2,1,1,0,1
880,2,4,2,0,0,0,1
882,1,0,0,0,0,0,1
883,5,3,1,0,0,1,1
884,2,3,3,0,1,0,1
886,3,4,1,2,0,0,1
888,4,1,0,1,1,0,1
889,2,5,0,1,0,0,1
890,6,2,3,2,0,0,1
891,3,3,0,1,0,0,1
892,1,3,2,0,0,1,1
893,3,2,1,0,1,1,0
895,3,2,0,3,0,1,1
896,1,3,0,0,0,0,1
897,3,1,2,3,0,0,1
898,2,3,2,0,1,0,0
900,1,1,0,1,0,1,1
901,1,3,0,0,1,0,0
902,0,3,0,2,0,1,1
903,4,3,1,0,1,0,1
904,5,0,0,0,0,0,1
905,0,1,0,0,0,1,1
906,2,3,2,3,0,1,1
907,3,6,1,0,0,0,1
908,0,4,1,0,1,1,1
909,5,3,0,1,1,1,1
910,3,2,2,2,0,1,1
911,2,3,0,1,0,0,1
913,4,4,0,1,1,1,1
914,2,3,1,0,1,1,1
915,0,3,1,0,0,1,1
916,3,4,3,1,0,1,0
917,2,3,0,1,0,1,1
918,0,1,0,0,0,0,1
919,2,4,0,0,0,0,1
920,6,4,0,0,0,1,0
921,4,0,1,0,0,1,1
922,2,1,0,1,0,0,1
923,6,1,2,0,1,1,1
924,2,3,2,1,0,1,1
925,3,4,2,0,0,1,1
926,0,1,2,1,0,1,1
927,2,1,0,1,1,1,1
928,4,3,0,2,0,1,1
929,2,1,2,0,1,1,1
930,1,3,1,0,0,0,1
931,2,2,0,1,0,0,1
933,3,2,3,2,0,1,1
935,2,4,1,2,0,0,1
937,0,3,2,1,1,0,0
938,0,2,1,2,1,0,1
939,3,4,0,1,0,1,1
940,3,3,0,2,0,1,1
941,2,2,2,2,1,0,1
942,2,1,1,1,1,0,1
943,3,1,2,3,1,0,1
944,2,3,0,1,1,1,1
945,2,1,0,0,0,1,1
946,4,4,2,3,1,0,1
947,3,3,3,2,0,1,1
948,1,0,0,1,1,0,1
949,2,2,1,0,0,1,1
950,3,2,0,1,0,1,1
952,2,3,0,2,0,0,1
953,3,2,2,0,0,0,1
954,2,2,3,0,0,0,1
955,4,3,3,1,0,1,1
956,4,3,2,3,0,0,1
957,3,3,3,0,1,0,1
958,3,3,0,1,0,0,1
959,3,4,1,3,1,0,1
960,2,2,1,0,0,1,0
961,2,3,0,2,0,0,1
962,4,2,0,1,0,0,1
963,2,3,1,0,1,1,1
964,4,3,0,1,0,0,1
965,2,0,1,3,0,0,1
966,4,0,0,0,0,1,1
967,1,2,0,1,0,1,1
968,3,2,0,1,0,1,1
969,2,4,0,0,1,0,0
970,3,3,2,3,1,0,1
972,1,2,0,1,0,1,1
973,2,2,0,2,0,1,1
974,3,5,0,1,0,0,1
975,0,3,0,0,0,0,1
976,3,2,2,1,1,0,1
